Date,Open,High,Low,Close,Adj Close,Volume
2021-02-01,2.350000,2.350000,2.300000,2.320000,2.295471,53007000
2021-02-02,2.320000,2.370000,2.320000,2.360000,2.335048,47803600
2021-02-03,2.380000,2.390000,2.370000,2.370000,2.344943,18506000
2021-02-04,2.360000,2.370000,2.310000,2.320000,2.295471,47515700
2021-02-05,2.330000,2.350000,2.320000,2.330000,2.305366,27333900
2021-02-08,2.340000,2.360000,2.330000,2.350000,2.325154,34744800
2021-02-09,2.360000,2.410000,2.350000,2.410000,2.384520,39814600
2021-02-10,2.420000,2.430000,2.380000,2.400000,2.374626,21356700
2021-02-11,2.390000,2.390000,2.370000,2.380000,2.354837,9378200
2021-02-15,2.390000,2.420000,2.380000,2.400000,2.374626,17170500
2021-02-16,2.420000,2.430000,2.410000,2.420000,2.394414,17848300
2021-02-17,2.400000,2.420000,2.400000,2.400000,2.374626,10544600
2021-02-18,2.390000,2.400000,2.330000,2.360000,2.335048,41818500
2021-02-19,2.350000,2.360000,2.340000,2.350000,2.325154,19532200
2021-02-22,2.340000,2.370000,2.330000,2.350000,2.325154,27925550
2021-02-23,2.340000,2.380000,2.340000,2.360000,2.335048,29077200
2021-02-24,2.370000,2.390000,2.360000,2.380000,2.354837,26444700
2021-02-25,2.390000,2.400000,2.370000,2.380000,2.354837,36072100
2021-02-26,2.340000,2.360000,2.330000,2.350000,2.325154,46227700
2021-03-01,2.340000,2.360000,2.330000,2.340000,2.315260,26245400
2021-03-02,2.350000,2.360000,2.330000,2.330000,2.305366,24100900
2021-03-03,2.340000,2.360000,2.330000,2.340000,2.315260,23224700
2021-03-04,2.330000,2.360000,2.330000,2.350000,2.325154,17658200
2021-03-05,2.340000,2.350000,2.330000,2.350000,2.325154,20601800
2021-03-08,2.360000,2.370000,2.340000,2.340000,2.315260,28681800
2021-03-09,2.350000,2.370000,2.350000,2.370000,2.344943,26320800
2021-03-10,2.370000,2.390000,2.360000,2.380000,2.354837,27761650
2021-03-11,2.380000,2.380000,2.350000,2.360000,2.335048,30763400
2021-03-12,2.360000,2.380000,2.350000,2.370000,2.344943,16922900
2021-03-15,2.380000,2.410000,2.380000,2.380000,2.354837,23508400
2021-03-16,2.390000,2.400000,2.370000,2.370000,2.344943,18439900
2021-03-17,2.380000,2.390000,2.370000,2.380000,2.354837,13331700
2021-03-18,2.390000,2.400000,2.380000,2.400000,2.374626,31810900
2021-03-19,2.400000,2.400000,2.380000,2.390000,2.364731,35911600
2021-03-22,2.380000,2.390000,2.360000,2.360000,2.335048,24224100
2021-03-23,2.370000,2.380000,2.350000,2.360000,2.335048,23069600
2021-03-24,2.360000,2.380000,2.350000,2.370000,2.344943,14714500
2021-03-25,2.380000,2.400000,2.370000,2.370000,2.344943,27282200
2021-03-26,2.380000,2.450000,2.380000,2.440000,2.414203,58455100
2021-03-29,2.460000,2.470000,2.440000,2.450000,2.424097,25459400
